"
","Right-to-left (RTL)
","Bi-directional (Bidi)
"
"Acme
","No
","No
"
"AkelPad
","No
","No
"
"Alphatk
","?
","?
"
"Aquamacs
","?
","?
"
"Atom
","No
","No
"
"BBEdit
","No
","No
"
"Bluefish
","Yes
","Yes
"
"Brackets
","?
","?
"
"Coda
","?
","?
"
"ConTEXT
","?
","?
"
"Crimson Editor
","?
","?
"
"E Text Editor
","?
","?
"
"ed
","?
","?
"
"EditPlus
","No
","No
"
"Editra
","?
","?
"
"EmEditor
","No
","No
"
"Geany
","?
","?
"
"gedit
","Yes
","Yes
"
"GNU Emacs
","Yes
","Yes[161]
"
"JED
","?
","?
"
"jEdit
","No
","No
"
"JOE
","?
","?
"
"JOVE
","No
","No
"
"LE
","?
","?
"
"Kate
","Yes
","Yes
"
"KEDIT
","No
","No
"
"Komodo Edit
","No
","No
"
"Komodo IDE
","No
","No
"
"KWrite
","?
","?
"
"Metapad
","?
","?
"
"MS-DOS Editor
","?
","?
"
"mined
","Yes[162]
","Yes[162]
"
"Nano
","?
","?
"
"
","RTL
","Bidi
"
"NEdit
","?
","?
"
"Notepad
","Yes
","Yes
"
"Notepad++
","Yes
","Partial[163]
"
"Notepad2
","No
","No
"
"NoteTab
","?
","?
"
"nvi
","?
","?
"
"Peppermint
","No
","No
"
"Pico
","?
","?
"
"PolyEdit
","?
","?
"
"PSPad
","?
","?
"
"Q10
","?
","?
"
"RJ TextEd
","Yes
","Yes
"
"RText
","?
","?
"
"Sam
","No
","No
"
"SciTE
","No
","No
"
"SlickEdit
","?
","?
"
"Smultron
","?
","?
"
"Source Insight
","No
","No
"
"SubEthaEdit
","Yes
","Yes
"
"Sublime Text
","No
","No
"
"TED Notepad
","?
","?
"
"TextEdit
","Yes
","Yes
"
"TextMate
","No
","No
"
"TextPad
","?
","?
"
"TextWrangler
","No
","No
"
"The SemWare Editor
","No
","No
"
"UltraEdit
","No
","No
"
"VEDIT
","?
","?
"
"vi
","?
","?
"
"Vim
","Yes
","through terminal support
"
"Visual Studio Code
","No
","No
"
"XEmacs
","?
","?
"
"Yi
","?
","?
"
"
","RTL
","Bidi
"
