"
","Windows (CR/LF)
","Unix-like systems (including macOS[164]) (LF)
","Classic Mac OS (CR)
"
"Acme
","Yes
","Yes
","Yes
"
"AkelPad
","Yes
","Yes
","Yes
"
"Alphatk
","Yes
","Yes
","Yes
"
"Aquamacs
","Yes
","Yes
","Yes
"
"BBEdit
","Yes
","Yes
","Yes
"
"Bluefish
","Yes
","Yes
","Yes
"
"Brackets
","Yes
","Yes
","No
"
"Coda
","Yes
","Yes
","Yes
"
"ConTEXT
","Yes
","Yes
","Yes
"
"Crimson Editor
","Yes
","Yes
","Yes
"
"CudaText
","Yes
","Yes
","Yes
"
"E Text Editor
","Yes
","Yes
","Yes
"
"ed
","No
","Yes
","No
"
"EditPlus
","Yes
","Yes
","Yes
"
"Editra
","Yes
","Yes
","Yes
"
"EmEditor
","Yes
","Yes
","Yes
"
"Geany
","Yes
","Yes
","Yes
"
"gedit
","Yes
","Yes
","Yes
"
"GNU Emacs[165]
","Yes
","Yes
","Yes
"
"JED
","Yes
","Yes
","Yes
"
"jEdit
","Yes
","Yes
","Yes
"
"JOE[166]
","Yes
","Yes
","No
"
"JOVE
","Yes
","Yes
","Yes
"
"Kate
","Yes
","Yes
","Yes
"
"KEDIT
","Yes
","Yes
","Yes
"
"Komodo Edit
","Yes
","Yes
","Yes
"
"Komodo IDE
","Yes
","Yes
","Yes
"
"KWrite
","Yes
","Yes
","Yes
"
"LE
","Yes
","Yes
","No
"
"Metapad
","Yes
","Yes
","?
"
"MS-DOS Editor
","Yes
","No
","No
"
"mined
","Yes
","Yes
","Yes
"
"Nano
","Yes
","Yes
","Yes
"
"NEdit
","Yes
","Yes
","Yes
"
"Notepad
","Yes
","No
","No
"
"Notepad++
","Yes
","Yes
","Yes
"
"Notepad2
","Yes
","Yes
","Yes
"
"NoteTab
","Yes
","Yes
","Yes
"
"nvi
","?
","Yes
","?
"
"Peppermint
","Yes
","Yes
","Yes
"
"Pico
","Yes
","Yes
","Yes
"
"PolyEdit
","Yes
","Yes
","Yes
"
"PSPad
","Yes
","Yes
","Yes
"
"Q10
","Yes
","Yes
","Yes
"
"RJ TextEd
","Yes
","Yes
","Yes
"
"RText
","Yes
","Yes
","Yes
"
"Sam
","?
","?
","?
"
"SciTE
","Yes
","Yes
","Yes
"
"SlickEdit
","Yes
","Yes
","Yes
"
"Smultron
","Yes
","Yes
","Yes
"
"Source Insight
","Yes
","Yes
","Yes
"
"SubEthaEdit
","Yes
","Yes
","Yes
"
"Sublime Text
","Yes
","Yes
","Yes
"
"TED Notepad
","Yes
","Yes
","Yes
"
"TextEdit
","Yes
","Yes
","Yes
"
"TextMate
","Yes
","Yes
","Yes
"
"TextPad
","Yes
","Yes
","Yes
"
"TextWrangler
","Yes
","Yes
","Yes
"
"The SemWare Editor
","Yes
","Yes
","Yes
"
"UltraEdit
","Yes
","Yes
","Yes
"
"VEDIT
","Yes
","Yes
","Yes
"
"vi
","No
","Yes
","No
"
"Vim
","Yes
","Yes
","Yes
"
"Visual Studio Code
","Yes
","Yes
","Yes
"
"XEmacs
","Yes
","Yes
","Yes
"
"Yi
","?
","Yes
","?
"
"
","Windows (CR/LF)
","Unix-like systems (including macOS) (LF)
","Classic Mac OS (CR)
"
