"
","Spell checking
","Regex-based find & replace
","Encoding conversion
","Newline conversion
","Multiple undo/redo
","Rectangular block selection
"
"Acme
","external[20]
","Yes
","Yes
","Yes
","Yes
","No
"
"AkelPad
","Plug-in
","Yes
","Yes
","Yes
","Yes
","Yes
"
"Alphatk
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
"
"Atom
","Yes
","Yes
","Yes
","Yes
","Yes
","Plug-in
"
"Aquamacs
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
"
"BBEdit
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
"
"Bluefish
","Yes
","Yes
","Yes
","Yes
","Yes
","No
"
"Brackets
","Plug-in
","Yes
","Plug-in
","No
","Yes
","Yes
"
"Coda
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
"
"ConTEXT
","No
","Partial[21]
","Partial[22]
","Yes
","Yes
","Yes
"
"Crimson Editor
","Instant/live (like Firefox)
","Yes
","Yes
","Yes
","Yes
","Yes
"
"CudaText
","No
","Yes
","Yes
","Yes
","Yes
","Yes
"
"E Text Editor
","Plug-in[23]
","Yes
","Yes
","Yes
","Yes
","Yes
"
"ed
","No
","Yes
","No
","No
","No
","No
"
"EditPlus
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
"
"Editra
","Yes
","Yes
","?
","?
","?
","Yes
"
"EmEditor
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
"
"Geany
","Plug-in[24]
","Yes
","Yes
","Yes
","Yes
","Yes
"
"gedit
","Yes[25]
","Plug-in[26]
","Yes
","Yes
","Yes
","Plug-in[27]
"
"GNU Emacs
","Plug-in[28]
","Yes
","Yes
","Yes
","Yes
","Yes
"
"JED
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
"
"jEdit
","Plug-in[29]
","Yes
","Yes
","Yes
","Yes
","Yes
"
"JOE
","Plug-in[30]
","Partial[31]
","No[32]
","Yes
","Yes
","Yes
"
"JOVE
","Yes
","Yes
","No
","No
","Yes
","Yes
"
"Kate
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
"
"KEDIT
","No
","Yes
","No
","Yes
","Yes
","Yes
"
"Komodo Edit
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
"
"Komodo IDE
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
"
"KWrite
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
"
"LE
","No
","Yes
","No[33]
","Yes
","Yes
","Yes
"
"Light Table
","Plug-in[34]
","?
","No
","No
","Yes
","?
"
"Metapad
","Partial[35]
","No
","Yes
","Yes
","Yes
","No
"
"mg
","No
","Yes[36]
","No
","Partial
","Yes[36]
","No
"
"MinEd
","No
","Yes[37]
","Yes[38]
","Yes[39]
","No
","Yes
"
"MS-DOS Editor
","No
","No
","No
","Yes
","No
","No
"
"Nano
","Yes
","Yes
","No
","Yes
","Yes
","No
"
"
","Spell checking
","Regex-based find & replace
","Encoding conversion
","Newline conversion
","Multiple undo/redo
","Rectangular block selection
"
"ne
","No
","Yes
","No
","No
","Yes
","Yes
"
"NEdit
","Plug-in[40]
","Yes
","No
","Yes
","Yes
","Yes
"
"Notepad
","No
","No
","No
","No
","No
","No
"
"Notepad++
","Yes[41]
","Yes
","Yes
","Yes
","Yes
","Yes
"
"Notepad2
","No
","Limited[42]
","Yes
","Yes
","Yes
","Yes
"
"NoteTab
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
"
"nvi
","No
","Yes
","No
","No
","Yes
","?
"
"Peppermint
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
"
"Pico
","Yes
","No
","No
","No
","No
","No
"
"PolyEdit
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
"
"PSPad
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
"
"Q10
","Yes
","?
","?
","?
","?
","?
"
"RJ TextEd
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
"
"RText
","Yes
","Yes
","Yes
","Yes
","Yes
","No
"
"Sam
","No
","Yes
","No
","No
","Yes
","No
"
"SciTE
","No
","Limited[42]
","No
","Yes
","Yes
","Yes
"
"SlickEdit
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
"
"Smultron
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
"
"Source Insight
","No
","Yes
","No
","Yes
","Yes
","Yes
"
"SubEthaEdit
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes[43]
"
"Sublime Text
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
"
"TED Notepad
","No
","No
","No
","Yes
","Yes
","No
"
"TextEdit
","Yes
","No
","Yes
","Yes
","Yes
","Yes
"
