"
","Syntax highlighting
","Function list
","Symbol database (ctags or equiv.)
","Brace matching
","Auto indentation
","Auto completion
","Code folding
","Text folding
","Compiler integration
"
"Acme
","No
","external[20]
","external[20]
","Yes
","Yes
","Partial[47]
","No
","No
","external[20]
"
"AkelPad
","Plug-in
","Plug-in
","Plug-in
","Plug-in
","Yes
","Plug-in
","Plug-in
","No
","Plug-in
"
"Alphatk
","Yes
","?
","?
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
"
"Atom
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
","Plug-in
"
"Aquamacs
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
"
"BBEdit
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
"
"Bluefish
","Yes
","No
","Yes
","Yes
","Yes
","Yes
","Yes
","No
","Yes[48]
"
"Brackets
","Yes
","Yes
","No
","Yes
","Yes
","Yes
","Yes
","Yes
","Plug-in
"
"Coda
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
","No
","No
"
"ConTEXT
","Yes
","?
","?
","Yes
","Yes
","Yes
","No
","No
","Yes
"
"Crimson Editor
","Yes
","No
","Partial[49]
","Yes
","Yes
","No
","No
","No
","Yes
"
"CudaText
","Yes
","Yes
","Yes
","Plug-in
","Yes
","Plug-in
","Yes
","Yes
","Plug-in
"
"E Text Editor
","Yes
","?
","?
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
"
"ed
","No
","No
","No
","No
","No
","No
","No
","No
","external[50]
"
"EditPlus
","Yes
","Yes[51]
","Partial[49]
","Yes
","Yes
","Yes[52]
","Yes
","No
","Yes
"
"Editra
","Yes
","?
","?
","Yes
","Yes
","?
","Yes
","?
","?
"
"EmEditor
","Yes
","Plug-in
","Plug-in
","Yes
","Yes
","Plug-in[53]
","Yes
","Yes
","Yes
"
"Geany
","Yes
","Yes
","Yes[54]
","Yes
","Yes
","Yes
","Partial
","No
","Yes
"
"gedit
","Yes
","Plug-in
","Plug-in
","Yes
","Yes
","Plug-in
","No
","Plug-in[55]
","Yes[56]
"
"GNU Emacs
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
"
"JED
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
"
"jEdit
","Yes
","Plug-in
","Plug-in
","Yes
","Yes
","Yes
","Yes
","Yes
","Plug-in
"
"JOE
","Yes
","?
","Yes
","Yes
","Yes
","?
","No
","No
","Yes
"
"JOVE
","No
","No
","No
","Yes
","Yes
","No
","No
","No
","Yes
"
"Kate
","Yes
","Plug-in
","Plug-in
","Yes
","Yes
","Yes
","Yes
","Yes
","Plug-in
"
"KEDIT
","Yes
","No
","Macro
","Yes
","Yes
","No
","Yes
","Yes
","Yes
"
"Komodo Edit
","Yes
","Yes
","No
","Yes
","Yes
","Yes
","Yes
","Yes
","No
"
"Komodo IDE
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
"
"KWrite
","Yes
","?
","?
","Yes
","Yes
","Yes
","Yes
","Yes
","No
"
"LE
","Yes
","No
","No
","Yes
","Yes
","No
","No
","No
","No[57]
"
"Light Table
","Yes
","No
","No
","Yes
","Yes
","Yes
","No
","No
","Partial[58]
"
"Metapad
","No
","No
","No
","No
","Yes
","No
","No
","No
","No
"
"mined
","Yes[59]
","?
","Yes
","Yes
","Yes
","No
","No
","No
","No
"
"MS-DOS Editor
","No
","No
","No
","No
","No
","No
","No
","No
","No
"
"Nano
","Yes
","No
","No
","Yes
","Yes
","No
","No
","No
","No
"
"
","Syntax highlighting
","Function list
","Symbol database (ctags or equiv.)
","Bracket matching
","Auto indentation
","Auto completion
","Code folding
","Text folding
","Compiler integration
"
"ne
","Yes
","No
","No
","Yes
","Yes
","Yes
","No
","No
","No
"
"NEdit
","Yes
","Plug-in
","Yes
","Yes
","Yes
","Plug-in
","No
","No
","Yes
"
"Notepad
","No
","No
","No
","No
","No
","No
","No
","No
","No
"
"Notepad++
","Yes
","Plug-in
","Plug-in
","Yes
","Yes
","Yes[60]
","Yes
","Yes
","Yes
"
"Notepad2
","Yes
","No
","No
","Yes
","Yes
","No
","No
","No
","No
"
"NoteTab
","Partial[61]
","?
","?
","No
","?
","Yes
","?
","?
","Yes
"
"nvi
","No
","?
","Yes
","Yes
","Yes
","Yes
","No
","No
","No
"
"Peppermint
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
"
"Pico
","No
","No
","No
","No
","No
","No
","No
","No
","No
"
"PolyEdit
","Yes
","No
","No
","No
","No
","No
","No
","No
","No
"
"PSPad
","Yes
","Yes
","Plug-in
","Yes
","Yes
","Yes
","No
","No
","Yes
"
"Q10
","?
","?
","?
","?
","?
","?
","?
","?
","?
"
"RJ TextEd
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
"
"RText
","Yes
","Plug-in
","No
","Yes
","Yes
","No
","No
","No
","No
"
"Sam
","No
","No
","No
","No
","No
","No
","No
","No
","external[62]
"
"SciTE
","Yes
","No[63]
","?
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
"
"SlickEdit
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
"
"Smultron
","Yes
","No
","No
","Yes
","Yes
","Yes
","?
","?
","?
"
"Source Insight
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
","No
","No
","Limited
"
"SubEthaEdit
","Yes
","?
","?
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
"
"Sublime Text
","Yes
","Yes
","Plug-in[64]
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
"
"TED Notepad
","No
","?
","?
","No
","Yes
","Yes
","No
","No
","No
"
"TextEdit
","No
","No
","No
","No
","No
","No
","No
","No
","No
"
"TextMate
","Yes
","Yes
","Plug-in
","Yes
","Yes
","Yes[65]
","Yes
","Yes
","No
"
"TextPad
","Yes
","No
","Plug-in[66]
","Yes
","Yes
","No
","No
","No
","Yes
"
"TextWrangler
","Yes
","Yes
","No
","Yes
","Yes
","Yes
","Yes
","Yes
","Plug-in[67]
"
"The SemWare Editor
","Yes
","Yes
","Plug-in[68]
","Yes
","Yes
","Yes[69]
","Partial[70]
","No
","Yes
"
"UltraEdit
","Yes
","Yes
","Partial[71]
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
"
"VEDIT
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes[72]
","No
","No
","Yes
"
"vi
","No
","No
","Yes
","Yes
","No
","No
","No
","No
","Yes
"
"Vim
","Yes
","Plug-in[73]
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
"
"Visual Studio Code
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
"
