"
","Text shell integration
","Graphical shell integration
","Macro language
","Collaborative editing
","Large file support
","Long line support
","Multi-line regex support[76]
","Search in files
"
"Acme
","Yes
","No
","Extensible
","No
","?
","?
","Yes
","?
"
"AkelPad
","Yes
","Yes
","Yes
","No
","memory
","Yes
","Yes
","Plug-in
"
"Alphatk
","Yes
","Yes
","Yes[77]
","No
","?
","?
","?
","?
"
"Aquamacs
","Yes
","Yes
","Yes
","Yes
","memory
","?
","Yes
","?
"
"Atom
","No[78]
","?
","Plug-in[79]
","Yes
","No 2-5 MB [80]
","100B [81]
","No [82]
","Yes
"
"BBEdit
","Yes
","Yes
","Yes[83]
","No
","memory[84]
","?
","Yes
","Yes
"
"Bluefish
","No
","Yes
","?
","Yes
","?
","?
","Yes
","?
"
"Brackets
","Yes
","Yes
","Extensible
","No
","No
","?
","Partial
","Yes
"
"Coda
","Yes
","No
","Yes[85]
","Yes
","?
","?
","Yes
","Yes
"
"ConTEXT
","No
","Yes
","Yes
","No
","memory[86]
","?
","No
","?
"
"Crimson Editor
","No
","Yes
","Yes
","No
","No
","?
","No
","?
"
"CudaText
","No
","No
","Plug-in
","No
","?
","?
","Yes
","Plug-in
"
"E Text Editor
","Yes
","Yes
","No[87]
","Yes
","Yes
","?
","Yes
","?
"
"ed
","Yes
","No
","Yes
","No
","?
","?
","?
","Yes
"
"EditPlus
","?
","Yes
","Yes
","No
","memory
","?
","Yes
","Yes
"
"Editra
","?
","?
","?
","?
","2 GB
","?
","?
","?
"
"EmEditor
","Yes
","Yes
","Yes
","No
","Yes
","?
","Yes
","Yes
"
"Geany
","Yes
","?
","Plug-in
","?
","?
","?
","Yes
","Yes
"
"gedit
","Yes
","Yes
","Yes[88]
","Plug-in
","No
","?
","No
","No
"
"GNU Emacs
","Yes
","Yes
","Yes
","Yes
","2 EB on 64-bit OS[89][90]
","Yes
","Yes
","Yes
"
"JED
","Yes
","No
","Yes
","No
","memory[91]
","Yes
","No
","Plug-ins
"
"jEdit
","Yes
","No
","Yes
","No
","No (heap)[92]
","?
","Yes
","Yes
"
"JOE
","Yes
","No
","Yes
","No
","Yes[citation needed]
","?
","?
","Yes[93]
"
"JOVE
","Yes
","No
","No
","No
","memory
","?
","No
","No
"
"Kate
","Yes
","Yes
","No
","No
","No[94]
","?
","Yes
","Plug-in
"
"KEDIT
","Yes
","Yes
","Yes
","No
","Yes
","10Kb
","Yes
","No
"
"Komodo Edit
","?
","?
","Yes[95]
","No
","?
","?
","Yes
","Yes
"
"Komodo IDE
","?
","?
","Yes[95]
","Yes
","?
","?
","Yes
","Yes
"
"KWrite
","No
","No
","No
","No
","No[94]
","No[96]
","No
","?
"
"LE
","Yes
","No
","No
","No[97]
","memory[98]
","?
","Yes
","?
"
"Light Table
","No
","Yes
","No
","No
","?
","?
","No
","Yes
"
"Metapad
","Yes
","Yes
","No
","No
","memory[99]
","?
","No
","No
"
"mined
","?
","?
","?
","?
","?
","?
","Yes
","?
"
"EDIT (MS-DOS)
","No
","No
","No
","No
","No (64~300 KB)
","No
","No
","No
"
"EDIT (DR-DOS)
","No
","No
","No
","No
","2 GB, for as long as there is disk swap space for two temporary files
","Yes
","No
","No
"
"Nano
","Yes
","No
","No
","No
","?
","?
","?
","?
"
"
","Text shell integration
","Graphical shell integration
","Macro language
","Collaborative editing
","Large file support
","Long line support
","Multi-line regex support
","Search in files
"
"NEdit
","Yes
","Yes
","Yes
","No
","No
","?
","Yes
","?
"
"Notepad
","Yes
","Yes
","No
","No
","memory
","?
","No
","No
"
"Notepad++
","Yes
","Yes
","Yes
","with plug-in
","2GB, 64Bit more in Test[100][101]
","?
","Yes
","Yes
"
"Notepad2
","No
","No
","No
","No
","memory[102]
","?
","No
","?
"
"NoteTab
","?
","?
","Yes
","?
","No
","?
","Yes[103]
","?
"
"nvi
","Yes
","No
","No
","?
","?
","?
","?
","?
"
"Peppermint
","Yes
","Yes
","Yes
","No
","Yes
","Yes
","Yes
","Yes
"
"Pico
","?
","?
","?
","No
","?
","?
","?
","?
"
"PolyEdit
","Yes
","Yes
","No
","No
","Yes
","?
","Yes
","?
"
"PSPad
","Yes
","Yes
","Yes
","No
","memory[104]
","?
","with plug-in
","Yes
"
"Q10
","?
","?
","?
","?
","?
","?
","?
","?
"
"RJ TextEd
","Yes
","Yes
","Yes
","No
","No
","?
","Yes
","?
"
"RText
","No
","No
","Yes
","No
","No
","?
","Yes
","?
"
"Sam
","Yes
","No
","Yes
","No
","?
","?
","Yes
","external[62]
"
"SciTE
","?
","?
","Yes
","No
","No
","?
","No
","Yes
"
"SlickEdit
","Yes
","Yes
","Yes
","No
","2 TB
","Yes
","Yes
","Yes
"
"Smultron
","?
","?
","?
","?
","?
","?
","?
","?
"
"Source Insight
","?
","?
","Yes
","No
","?
","?
","No
","?
"
"SubEthaEdit
","Yes
","Yes
","No
","Yes
","?
","?
","Yes
","?
"
"TED Notepad
","Yes
","Yes
","No
","No
","No
","?
","?
","?
"
"TextEdit
","Yes
","Yes
","No
","No
","?
","?
","?
","?
"
"TextMate
","Yes
","Yes
","Yes
","No
","No
","?
","Yes
","?
"
"TextPad
","No
","Yes
","Yes
","No
","memory[105]
","?
","Yes
","Yes
"
"TextWrangler
","Yes
","Yes
","Yes
","No
","memory[84]
","?
","Yes
","?
"
"The SemWare Editor
","Yes
","Yes
","Yes
","Yes Only in special DOS multi-user version
","2 GB
","Yes
","?
","Yes
"
"UltraEdit
","Yes
","Yes
","Yes
","No
","Yes
","Yes
","Yes
","Yes
"
"VEDIT
","Yes
","Yes
","Yes
","No
","Yes
","?
","Yes
","Yes
"
"vi
","Yes
","No
","Yes
","No
","approx. 65 MB
","?
","Yes
","Yes
"
"Vim
","Yes
","Yes
","Yes
","with plug-in[106]
","memory[107]
","Yes
","Yes
","Yes
"
"Visual Studio Code
","Yes
","Yes
","Yes
","No
","?
","?
","Yes
","Yes
"
"XEmacs
","Yes
","Yes
","Yes
","Yes
","on 64-bit OS[89]
","?
","Yes
","Yes
"
"
","Text shell integration
","Graphical shell integration
","Macro language
","Collaborative editing
","Large file support
","Long line support
","Multi-line regex support
","Search in files
"
