"
","Dynamically customizable
","IBM CUA
","macOS
","Vi
","Emacs
","Pico
","WordStar
","WordPerfect
","Brief
"
"Acme
","No
","No
","No
","No
","No
","No
","No
","No
","No
"
"AkelPad
","Yes
","?
","?
","?
","?
","?
","?
","?
","?
"
"Alphatk
","?
","?
","?
","?
","?
","?
","?
","?
","?
"
"Aquamacs
","Yes
","?
","Yes
","Yes
","Yes
","?
","?
","?
","?
"
"BBEdit[109][110]
","Yes
","?
","Yes
","?
","Yes
","?
","?
","?
","?
"
"Bluefish
","Yes
","?
","Yes
","?
","?
","?
","?
","?
","?
"
"Brackets
","Yes
","Partial
","Yes
","Plug-in
","Plug-in
","No
","No
","No
","No
"
"Coda
","Yes
","?
","Yes
","?
","?
","?
","?
","?
","?
"
"ConTEXT
","?
","?
","?
","?
","?
","?
","?
","?
","?
"
"Crimson Editor
","?
","?
","?
","?
","?
","?
","?
","?
","?
"
"CudaText
","Yes
","?
","?
","?
","?
","?
","?
","?
","?
"
"E Text Editor
","?
","?
","?
","?
","?
","?
","?
","?
","?
"
"ed
","No
","No
","No
","No
","No
","No
","No
","No
","No
"
"EditPlus
","Yes
","?
","?
","?
","?
","?
","?
","?
","?
"
"Editra
","No
","No
","No
","Yes
","No
","No
","No
","No
","No
"
"EmEditor
","Yes
","?
","?
","?
","?
","?
","?
","?
","?
"
"epsilon
","Yes
","?
","?
","?
","Yes
","?
","?
","?
","Yes
"
"Geany
","Yes
","?
","?
","?
","?
","?
","?
","?
","?
"
"gedit
","Yes[111]
","?
","?
","?
","?
","?
","?
","?
","?
"
"GNU Emacs
","Yes
","Yes
","Yes
","Yes
","Yes
","Partial[112]
","Yes[113]
","Yes[114]
","Yes[114]
"
"JED
","Yes
","Partial[115]
","?
","Yes
","Yes
","?
","Yes
","?
","Yes
"
"jEdit
","Yes
","?
","Yes
","Yes
","?
","?
","?
","?
","?
"
"JOE[116]
","Yes
","No
","No
","No
","Yes
","Yes
","Yes
","No
","No
"
"JOVE
","Yes
","No
","No
","No
","Yes
","No
","Yes[117]
","No
","No
"
"LE
","Yes
","?
","?
","No
","?
","?
","?
","?
","?
"
"Light Table
","Yes
","Partial
","?
","Plug-in
","Plug-in
","?
","?
","?
","?
"
"Kate
","Yes
","No
","No
","Yes[118]
","No
","No
","No
","No
","No
"
"KEDIT
","Yes
","Yes
","No
","No
","No
","No
","No
","No
","No
"
"Komodo Edit
","Yes
","?
","Yes
","Yes
","Yes
","?
","?
","?
","?
"
"Komodo IDE
","Yes
","?
","Yes
","Yes
","Yes
","?
","?
","?
","?
"
"KWrite
","Yes
","?
","?
","?
","?
","?
","?
","?
","?
"
"Metapad
","?
","?
","?
","?
","?
","?
","?
","?
","?
"
"mg
","?
","?
","?
","?
","Yes
","?
","?
","?
","?
"
"mined
","?
","?
","?
","?
","Yes
","Yes
","Yes
","?
","?
"
"MS-DOS Editor
","No
","No
","No
","No
","No
","No
","No
","No
","No
"
"Nano
","Yes
","No
","No
","No
","Partial[119]
","Yes
","No
","No
","No
"
"NEdit
","Yes
","?
","?
","?
","?
","?
","?
","?
","?
"
"Notepad
","No
","Yes
","No
","No
","No
","No
","No
","No
","No
"
"Notepad++
","Partial
","Yes
","No
","No
","No
","No
","No
","No
","No
"
"Notepad2
","No
","?
","No
","No
","No
","No
","?
","?
","?
"
"NoteTab
","?
","?
","?
","?
","?
","?
","?
","?
","?
"
"nvi
","?
","?
","?
","Yes
","?
","?
","?
","?
","?
"
"Peppermint
","Yes
","No
","Yes
","Yes
","Yes
","No
","No
","No
","No
"
"Pico
","No
","No
","No
","No
","Partial[119]
","Yes
","No
","No
","No
"
"PolyEdit
","?
","?
","?
","?
","?
","?
","?
","?
","?
"
"PSPad
","Yes
","?
","?
","?
","?
","?
","?
","?
","?
"
"Q10
","?
","?
","?
","?
","?
","?
","?
","?
","?
"
"RJ TextEd
","Yes
","?
","?
","?
","?
","?
","?
","?
","?
"
"RText
","Yes
","?
","?
","?
","?
","?
","?
","?
","?
"
"Sam
","No
","No
","No
","No
","No
","No
","No
","No
","No
"
