"
","FTP
","HTTP
","SSH
","WebDAV
"
"Acme
","Yes
","Yes
","Yes
","Yes
"
"AkelPad
","No
","No
","No
","No
"
"Alphatk
","Yes
","No
","No
","Yes
"
"Aquamacs
","Yes
","Yes
","Yes
","Yes[136]
"
"BBEdit
","Yes
","No
","Yes
","No
"
"Bluefish
","Yes
","Yes
","Yes
","Yes
"
"Brackets
","Plug-in
","No
","No
","No
"
"Coda
","Yes
","Yes
","Yes
","Yes
"
"ConTEXT
","No[137]
","?
","No[137]
","?
"
"Crimson Editor
","Yes
","No
","No
","No
"
"CudaText
","Yes
","No
","No
","No
"
"E Text Editor
","Yes
","No
","No
","No
"
"ed
","No
","No
","No
","No
"
"EditPlus
","Yes
","No
","No
","No
"
"Editra
","?
","?
","?
","?
"
"EmEditor
","No
","No
","No
","No
"
"Geany
","No
","No
","No
","No
"
"gedit
","Yes
","Yes
","Yes
","Yes
"
"GNU Emacs
","Yes
","Yes
","Yes
","Yes
"
"JED
","No
","No
","No
","No
"
"jEdit
","Plug-in[138]
","Yes[139]
","Plug-in[138]
","Plug-in.
"
"JOE
","No
","No
","No
","No
"
"JOVE
","No
","No
","No
","No
"
"LE
","No
","No
","No
","No
"
"Kate
","Yes
","Yes
","Yes
","Yes
"
"KEDIT
","No
","No
","No
","No
"
"Komodo IDE
","FTP, FTPS, SFTP
","No
","Yes
","No
"
"KWrite
","Yes
","Yes
","Yes
","Yes
"
"Metapad
","No
","No
","No
","No
"
"mined
","?
","?
","?
","?
"
"MS-DOS Editor
","No
","No
","No
","No
"
"Nano
","No
","No
","Yes
","No
"
"
","FTP
","HTTP
","SSH
","WebDAV
"
"NEdit
","No
","No
","No
","No
"
"Notepad
","No
","No
","No
","No
"
"Notepad++
","Plug-in for FTP, FTPS, FTPES, SFTP
","No
","Plug-in
","No
"
"Notepad2
","No
","No
","No
","No
"
"NoteTab
","No[140]
","?
","No[140]
","?
"
"nvi
","No
","No
","No
","No
"
"Peppermint
","Yes
","No
","Yes
","No
"
"Pico
","No
","No
","No
","No
"
"PolyEdit
","No
","No
","No
","No
"
"PSPad
","Yes
","No
","No
","No
"
"Q10
","?
","?
","?
","?
"
"RJ TextEd
","FTP, SFTP
","No
","Yes
","No
"
"RText
","No
","No
","No
","No
"
"Sam
","No
","No
","No
","No
"
"SciTE
","No
","No
","No
","No
"
"SlickEdit
","Yes
","Yes
","Yes
","No
"
"Smultron
","Yes
","?
","?
","?
"
"Source Insight
","No
","No
","No
","No
"
"SubEthaEdit
","Yes
","No
","No
","No
"
"Sublime text
","Plug-in [141]
","Plug-in [142]
","Yes
","Plug-in [143]
"
"TED Notepad
","No[144]
","?
","No[144]
","?
"
"TextEdit
","No
","No
","No
","No
"
"TextMate
","Yes[136]
","No
","No
","No
"
"TextPad
","No
","No
","No
","No
"
"TextWrangler
","Yes[145] FTP, SFTP
","No
","Yes
","No
"
"The SemWare Editor
","No
","No
","No
","No
"
"UltraEdit
","Yes
","No
","Yes
","No
"
"VEDIT
","Yes
","No
","No
","No
"
"vi
","No
","No
","No
","No
"
"Vim
","Plug-in[146]
","Plug-in[146]
","Plug-in[146]
","Plug-in[146]
"
"Visual Studio Code
","No
","No
","No
","No
"
"XEmacs
","Yes
","Yes
","Yes
","?
"
"Yi
","No
","No
","No
","No
"
"
","FTP
","HTTP
","SSH
","WebDAV
"
