"
","ASCII
","ISO-8859
","DOS (OEM)
","EBCDIC
","UTF-8
","UTF-16
"
"Acme
","Yes
","?
","?
","?
","Yes
","?
"
"AkelPad
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
"
"Alphatk
","Yes
","?
","?
","?
","Yes
","Yes
"
"Aquamacs
","Yes
","Yes
","Yes
","?
","Yes
","Yes
"
"BBEdit
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
"
"Bluefish
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
"
"Brackets
","Yes
","No
","No
","No
","Yes
","No
"
"Coda
","Yes
","Yes
","Yes
","?
","Yes
","Yes
"
"ConTEXT
","Yes
","Yes
","Partial[147]
","No
","No
","No
"
"Crimson Editor
","Yes
","Yes
","Partial[147]
","No
","Partial
","No
"
"CudaText
","Yes
","Yes
","Yes
","?
","Yes
","Yes
"
"E Text Editor
","Yes
","?
","?
","?
","Yes
","Yes
"
"ed
","Yes
","?
","?
","?
","Yes
","No
"
"EditPlus
","Yes
","?
","Yes
","?
","Yes
","Yes
"
"Editra
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
"
"EmEditor
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
"
"Geany
","Yes
","Yes
","Yes
","?
","Yes
","Yes
"
"gedit
","Yes
","Yes
","?
","?
","Yes
","Yes
"
"GNU Emacs
","Yes
","Yes
","Yes
","Yes
","Yes[148]
","Yes[149]
"
"JED
","Yes
","Yes
","Yes
","?
","Yes
","Partial[150]
"
"jEdit
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
"
"JOE
","Yes
","?
","?
","?
","Yes
","No
"
"JOVE
","Yes
","No
","No
","No
","No
","No
"
"LE
","Yes
","?
","?
","?
","Yes
","No
"
"Kate
","Yes
","Yes
","?
","?
","Yes
","Yes
"
"KEDIT
","Yes
","Yes
","Partial[147]
","No
","No
","No
"
"Komodo Edit
","Yes
","Yes
","No
","No
","Yes
","Yes
"
"Komodo IDE
","Yes
","Yes
","No
","No
","Yes
","Yes
"
"KWrite
","Yes
","?
","?
","?
","Yes
","Yes
"
"Metapad
","Yes
","Yes
","Partial[147]
","No
","No
","No
"
"mined
","Yes
","Yes
","Yes
","?
","Yes
","Yes
"
"MS-DOS Editor
","Yes
","?
","Yes
","?
","?
","?
"
"Nano
","Yes
","Yes
","?
","?
","Yes
","No
"
"
","ASCII
","ISO-8859
","DOS (OEM)
","EBCDIC
","UTF-8
","UTF-16
"
"NEdit
","Yes
","?
","?
","?
","No
","No
"
"Notepad
","Yes
","Yes
","Partial[147]
","No
","Yes
","Yes
"
"Notepad++
","Yes
","Yes
","No
","Plug-in?
","Yes
","Yes
"
"Notepad2
","Yes
","Yes
","Yes
","No
","Yes
","Yes
"
"NoteTab
","Yes
","?
","Yes
","Yes
","Partial[151]
","Partial[151]
"
"nvi
","Yes
","?
","?
","?
","Yes[152]
","No
"
"Peppermint
","Yes
","Yes
","Yes
","?
","Yes
","Yes
"
"Pico
","Yes
","No
","No
","No
","Yes
","No
"
"PolyEdit
","Yes
","?
","?
","?
","Yes
","Yes
"
"PSPad
","Yes
","Yes
","Yes
","?
","Yes
","Yes
"
"Q10
","?
","?
","?
","?
","?
","?
"
"RJ TextEd
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
"
"RText
","Yes
","Yes
","Yes
","Yes[153]
","Yes
","Yes
"
"Sam
","Yes
","?
","?
","?
","Yes
","No
"
"SciTE[154]
","Yes
","No
","No
","No
","Yes
","Yes
"
"SlickEdit
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
"
"Smultron
","Yes
","?
","?
","?
","Yes
","Yes
"
"Source Insight
","Yes
","?
","?
","?
","No
","No
"
"SubEthaEdit
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
"
"Sublime Text
","Yes
","Yes
","Yes
","Yes
","Partial[155]
","Yes
"
"TED Notepad
","Yes
","?
","?
","?
","Yes
","Yes
"
"TextEdit
","Yes
","Yes
","?
","?
","Yes
","Yes
"
"TextMate
","Yes
","Yes
","?
","?
","Yes
","Yes
"
"TextPad
","Yes
","?
","?
","?
","Partial[156]
","Partial[156]
"
"TextWrangler
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
"
"The SemWare Editor
","Yes
","Yes[157]
","Partial[147]
","Plug-in
","No
","No
"
"UltraEdit
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
"
"VEDIT
","Yes
","Yes
","Yes
","Yes
","Partial[158]
","Partial[158]
"
"vi
","Yes
","?
","?
","?
","Yes
","No
"
"Vim
","Yes
","Yes
","Yes
","Partial[159]
","Yes
","Yes
"
"Visual Studio Code
","Yes
","Yes
","Yes
","?
","Yes
","Yes
"
"XEmacs
","Yes
","Yes
","?
","?
","Yes[160]
","Yes
"
"Yi
","Yes
","?
","?
","?
","Yes
","No
"
"
","ASCII
","ISO-8859
","DOS (OEM)
","EBCDIC
","UTF-8
","UTF-16
"
